Id,Term,Year,location,College,Department,Major,level,Degree_level,headcount,headcount_pibb
23,Fall,2012,Off,CLAHS,History,HIST,Juniors,Bachelors,1,0.25
24,Fall,2012,Off,CLAHS,History,HIST,Seniors,Bachelors,4,2.50
25,Fall,2012,Off,CLAHS,Human Development,HD,Doctoral,Doctoral,15,5.44
26,Fall,2012,Off,CLAHS,Human Development,HD,Masters,Masters,53,39.0
27,Fall,2012,Off,CLAHS,Human Development,HD,Seniors,Bachelors,1,1.00
28,Fall,2012,Off,CLAHS,Political Science,PSCI,Juniors,Bachelors,2,1.25
29,Fall,2012,Off,CLAHS,Political Science,PSCI,Masters,Masters,37,0.11
30,Fall,2012,Off,CLAHS,Political Science,PSCI,Seniors,Bachelors,1,0.50
31,Fall,2012,Off,CLAHS,School of Education,EDCI,Doctoral,Doctoral,12,5.11
32,Fall,2012,Off,CLAHS,School of Education,EDCI,Masters,Masters,128,16.2
33,Fall,2012,Off,CLAHS,School of Education,EDCO,Doctoral,Doctoral,12,8.33
34,Fall,2012,Off,CLAHS,School of Education,EDCO,Masters,Masters,73,62.7
35,Fall,2012,Off,CLAHS,School of Education,EDCT,Masters,Masters,12,4.00
36,Fall,2012,Off,CLAHS,School of Education,EDPE,Masters,Masters,1,0.33
37,Fall,2012,Off,CLAHS,School of Education,ELPS,Doctoral,Doctoral,145,81.9
38,Fall,2012,Off,CLAHS,School of Education,ELPS,Masters,Masters,84,60.0
39,Fall,2012,Off,CLAHS,Science and Technology in Society,STS,Doctoral,Doctoral,19,7.67
40,Fall,2012,Off,CLAHS,Science and Technology in Society,STS,Masters,Masters,4,1.44
41,Fall,2012,Off,CLAHS,Sociology,SOC,Seniors,Bachelors,1,1.00
42,Fall,2012,Off,CNRE,College of Natural Resources,MNR,Masters,Masters,83,3.11
43,Fall,2012,Off,CNRE,Fish and Wildlife Conservation,FSCI,Sophomores,Bachelors,1,0.50
44,Fall,2012,Off,CNRE,For Resources & Environ Consrv,FOR,Doctoral,Doctoral,1,0.00
45,Fall,2012,Off,CNRE,For Resources & Environ Consrv,FOR,Masters,Masters,1,0.00
46,Fall,2012,Off,CNRE,Geography,GEOG,Seniors,Bachelors,1,1.00
47,Fall,2012,Off,COE,Aerospace and Ocean Engineering,AE,Doctoral,Doctoral,3,0.00
48,Fall,2012,Off,COE,Aerospace and Ocean Engineering,AE,Masters,Masters,7,1.00
49,Fall,2012,Off,COE,Aerospace and Ocean Engineering,AE,Seniors,Bachelors,1,0.67
50,Fall,2012,Off,COE,Aerospace and Ocean Engineering,OCE,Masters,Masters,9,0.00
51,Fall,2012,Off,COE,Biomedical Engineering & Mechanics,EM,Doctoral,Doctoral,1,0.09
52,Fall,2012,Off,COE,Chemical Engineering,CHE,Seniors,Bachelors,1,0.25
53,Fall,2012,Off,COE,Civil & Environmental Engineering,CE,Doctoral,Doctoral,9,8.00
54,Fall,2012,Off,COE,Civil & Environmental Engineering,CE,Masters,Masters,15,7.33
55,Fall,2012,Off,COE,Civil & Environmental Engineering,ENE,Masters,Masters,1,0.33
56,Fall,2012,Off,COE,Civil & Environmental Engineering,ESEN,Masters,Masters,6,3.56
57,Fall,2012,Off,COE,Computer Science,CS,Seniors,Bachelors,3,1.00
58,Fall,2012,Off,COE,Computer Science,CSA,Doctoral,Doctoral,22,20.0
59,Fall,2012,Off,COE,Computer Science,CSA,Masters,Masters,11,6.33
60,Fall,2012,Off,COE,Electrical and Computer Engineering,CPE,Doctoral,Doctoral,5,3.00
61,Fall,2012,Off,COE,Electrical and Computer Engineering,CPE,Masters,Masters,9,6.22
62,Fall,2012,Off,COE,Electrical and Computer Engineering,EE,Doctoral,Doctoral,37,31.4
63,Fall,2012,Off,COE,Electrical and Computer Engineering,EE,Juniors,Bachelors,1,0.67
64,Fall,2012,Off,COE,Electrical and Computer Engineering,EE,Masters,Masters,36,17.8
65,Fall,2012,Off,COE,Electrical and Computer Engineering,EE,Seniors,Bachelors,2,0.50
66,Fall,2012,Off,COE,Industrial and Systems Engineering,ISE,Doctoral,Doctoral,6,3.67
67,Fall,2012,Off,COE,Industrial and Systems Engineering,ISE,Masters,Masters,16,6.09
68,Fall,2012,Off,COE,Industrial and Systems Engineering,SYSE,Masters,Masters,21,10.8
69,Fall,2012,Off,COE,Materials Science & Engineering,MSE,Doctoral,Doctoral,1,0.33
70,Fall,2012,Off,COE,Materials Science & Engineering,MSE,Masters,Masters,1,1.00
71,Fall,2012,Off,COE,Mechanical Engineering,ME,Doctoral,Doctoral,5,2.78
72,Fall,2012,Off,COE,Mechanical Engineering,ME,Masters,Masters,7,3.67
73,Fall,2012,Off,COS,Biological Sciences,BIOL,Seniors,Bachelors,2,1.25
74,Fall,2012,Off,COS,Chemistry,CHEM,Sophomores,Bachelors,1,0.50
75,Fall,2012,Off,COS,Dean of Science,BTDM,Masters,Masters,2,1.78
76,Fall,2012,Off,COS,Economics,ECAS,Seniors,Bachelors,2,0.50
77,Fall,2012,Off,COS,Psychology,PSYC,Juniors,Bachelors,1,0.25
78,Fall,2012,Off,COS,Psychology,PSYC,Seniors,Bachelors,5,3.75
79,Fall,2012,Off,CVM,Population Health Sciences Dept,PH,Masters,Masters,9,4.67
80,Fall,2012,Off,IntC,Dean - Graduate School,IT,Masters,Masters,287,34.7
81,Fall,2012,Off,IntC,Graduate School Student Services,GS,Masters,Masters,229,62.8
82,Fall,2012,Off,IntC,Graduate School Student Services,GSCR,Masters,Masters,171,82.0
83,Fall,2012,Off,IntC,Univ. Academic Advising Center,US,Non-degree-seeking,Non-degre,3,0.67
84,Fall,2012,Off,IntC,Univ. Academic Advising Center,US,Sophomores,Bachelors,1,1.00
85,Fall,2012,Off,PCOB,Accounting & Information Systems,ACIS,Seniors,Bachelors,2,2.00
86,Fall,2012,Off,PCOB,Dean of Business,BAD,Masters,Masters,210,112
87,Fall,2012,Off,PCOB,Hospitality and Tourism,HTM,Juniors,Bachelors,1,0.25
88,Fall,2012,Off,PCOB,Hospitality and Tourism,HTM,Seniors,Bachelors,1,0.08
89,Fall,2012,Off,PCOB,Management,MGT,Juniors,Bachelors,1,1.00
90,Fall,2012,Off,PCOB,Management,MGT,Seniors,Bachelors,1,0.92
91,Fall,2012,Off,PCOB,Management,MGT,Sophomores,Bachelors,1,0.25
92,Fall,2012,Off,PCOB,Marketing,MKTG,Seniors,Bachelors,1,0.25
93,Fall,2012,On,CALS,"Ag, Leadership & Community Education",AEE,Masters,Masters,6,5.67
94,Fall,2012,On,CALS,"Ag, Leadership & Community Education",AGSC,Freshmen,Bachelors,11,11.0
95,Fall,2012,On,CALS,"Ag, Leadership & Community Education",AGSC,Juniors,Bachelors,16,15.1
96,Fall,2012,On,CALS,"Ag, Leadership & Community Education",AGSC,Seniors,Bachelors,18,18.0
97,Fall,2012,On,CALS,"Ag, Leadership & Community Education",AGSC,Sophomores,Bachelors,17,17.0
98,Fall,2012,On,CALS,"Ag, Leadership & Community Education",LSAE,Doctoral,Doctoral,17,14.7
99,Fall,2012,On,CALS,Agricultural & Applied Economics,AAEC,Doctoral,Doctoral,2,2.00
100,Fall,2012,On,CALS,Agricultural & Applied Economics,AAEC,Masters,Masters,18,17.7
101,Fall,2012,On,CALS,Agricultural & Applied Economics,AEM,Freshmen,Bachelors,5,5.00
102,Fall,2012,On,CALS,Agricultural & Applied Economics,AEM,Juniors,Bachelors,25,25.0
103,Fall,2012,On,CALS,Agricultural & Applied Economics,AEM,Seniors,Bachelors,34,33.5
104,Fall,2012,On,CALS,Agricultural & Applied Economics,AEM,Sophomores,Bachelors,17,17.0
105,Fall,2012,On,CALS,Agricultural & Applied Economics,AGRB,Freshmen,Bachelors,12,12.0
106,Fall,2012,On,CALS,Agricultural & Applied Economics,AGRB,Juniors,Bachelors,17,17.0
107,Fall,2012,On,CALS,Agricultural & Applied Economics,AGRB,Seniors,Bachelors,23,23.0
108,Fall,2012,On,CALS,Agricultural & Applied Economics,AGRB,Sophomores,Bachelors,13,13.0
109,Fall,2012,On,CALS,Agricultural & Applied Economics,ECAG,Doctoral,Doctoral,19,19.0
110,Fall,2012,On,CALS,Agriculture Technology 2-year Prog.,AT,Associate,Associate,131,131
111,Fall,2012,On,CALS,Animal and Poultry Sciences,APSC,Doctoral,Doctoral,27,25.9
112,Fall,2012,On,CALS,Animal and Poultry Sciences,APSC,Freshmen,Bachelors,146,146
113,Fall,2012,On,CALS,Animal and Poultry Sciences,APSC,Juniors,Bachelors,102,101
114,Fall,2012,On,CALS,Animal and Poultry Sciences,APSC,Masters,Masters,23,21.4
115,Fall,2012,On,CALS,Animal and Poultry Sciences,APSC,Seniors,Bachelors,121,118
116,Fall,2012,On,CALS,Animal and Poultry Sciences,APSC,Sophomores,Bachelors,98,98.0
117,Fall,2012,On,CALS,Biochemistry,BCHM,Freshmen,Bachelors,36,36.0
118,Fall,2012,On,CALS,Biochemistry,BCHM,Juniors,Bachelors,56,55.8
119,Fall,2012,On,CALS,Biochemistry,BCHM,Masters,Masters,2,2.00
120,Fall,2012,On,CALS,Biochemistry,BCHM,Non-degree-seeking,Non-degre,1,0.75
121,Fall,2012,On,CALS,Biochemistry,BCHM,Seniors,Bachelors,61,60.0
122,Fall,2012,On,CALS,Biochemistry,BCHM,Sophomores,Bachelors,36,36.0
123,Fall,2012,On,CALS,Biochemistry,BIOC,Freshmen,Bachelors,108,108
124,Fall,2012,On,CALS,Biochemistry,BIOC,Juniors,Bachelors,95,94.7
125,Fall,2012,On,CALS,Biochemistry,BIOC,Seniors,Bachelors,111,107
126,Fall,2012,On,CALS,Biochemistry,BIOC,Sophomores,Bachelors,71,71.0
127,Fall,2012,On,CALS,Biochemistry,LSBC,Doctoral,Doctoral,20,20.0
128,Fall,2012,On,CALS,Biological Systems Engineering,BSE,Doctoral,Doctoral,24,23.1
129,Fall,2012,On,CALS,Biological Systems Engineering,BSE,Freshmen,Bachelors,1,1.00
130,Fall,2012,On,CALS,Biological Systems Engineering,BSE,Juniors,Bachelors,29,29.0
131,Fall,2012,On,CALS,Biological Systems Engineering,BSE,Masters,Masters,17,16.0
132,Fall,2012,On,CALS,Biological Systems Engineering,BSE,Seniors,Bachelors,57,56.4
133,Fall,2012,On,CALS,Biological Systems Engineering,BSE,Sophomores,Bachelors,26,26.0
134,Fall,2012,On,CALS,CALS Administration,LFSC,Freshmen,Bachelors,30,30.0
135,Fall,2012,On,CALS,CALS Administration,LFSC,Juniors,Bachelors,2,2.00
136,Fall,2012,On,CALS,CALS Administration,LFSC,Seniors,Bachelors,1,1.00
137,Fall,2012,On,CALS,CALS Administration,LFSC,Sophomores,Bachelors,12,12.0
138,Fall,2012,On,CALS,Crop & Soil Environmental Science,CSES,Doctoral,Doctoral,21,19.7
139,Fall,2012,On,CALS,Crop & Soil Environmental Science,CSES,Freshmen,Bachelors,8,8.00
140,Fall,2012,On,CALS,Crop & Soil Environmental Science,CSES,Juniors,Bachelors,19,19.0
141,Fall,2012,On,CALS,Crop & Soil Environmental Science,CSES,Masters,Masters,23,21.8
142,Fall,2012,On,CALS,Crop & Soil Environmental Science,CSES,Seniors,Bachelors,17,16.5
143,Fall,2012,On,CALS,Crop & Soil Environmental Science,CSES,Sophomores,Bachelors,11,11.0
144,Fall,2012,On,CALS,Crop & Soil Environmental Science,ENSC,Freshmen,Bachelors,46,46.0
145,Fall,2012,On,CALS,Crop & Soil Environmental Science,ENSC,Juniors,Bachelors,37,37.0
146,Fall,2012,On,CALS,Crop & Soil Environmental Science,ENSC,Seniors,Bachelors,34,34.0
147,Fall,2012,On,CALS,Crop & Soil Environmental Science,ENSC,Sophomores,Bachelors,23,23.0
148,Fall,2012,On,CALS,Dairy Science,ANSD,Doctoral,Doctoral,8,7.11
149,Fall,2012,On,CALS,Dairy Science,DASC,Freshmen,Bachelors,26,26.0
150,Fall,2012,On,CALS,Dairy Science,DASC,Juniors,Bachelors,26,26.0
151,Fall,2012,On,CALS,Dairy Science,DASC,Masters,Masters,7,7.00
152,Fall,2012,On,CALS,Dairy Science,DASC,Seniors,Bachelors,28,27.0
153,Fall,2012,On,CALS,Dairy Science,DASC,Sophomores,Bachelors,13,13.0
154,Fall,2012,On,CALS,Entomology,ENT,Doctoral,Doctoral,19,18.7
155,Fall,2012,On,CALS,Entomology,ENT,Masters,Masters,21,19.8
156,Fall,2012,On,CALS,Food Science and Technology,FST,Freshmen,Bachelors,17,17.0
157,Fall,2012,On,CALS,Food Science and Technology,FST,Juniors,Bachelors,30,29.8
158,Fall,2012,On,CALS,Food Science and Technology,FST,Masters,Masters,18,18.0
159,Fall,2012,On,CALS,Food Science and Technology,FST,Seniors,Bachelors,36,35.8
160,Fall,2012,On,CALS,Food Science and Technology,FST,Sophomores,Bachelors,13,13.0
161,Fall,2012,On,CALS,Food Science and Technology,LSFS,Doctoral,Doctoral,17,16.1
162,Fall,2012,On,CALS,Horticulture,EHRT,Juniors,Bachelors,7,7.00
163,Fall,2012,On,CALS,Horticulture,EHRT,Seniors,Bachelors,11,10.0
164,Fall,2012,On,CALS,Horticulture,EHRT,Sophomores,Bachelors,2,2.00
165,Fall,2012,On,CALS,Horticulture,HORT,Doctoral,Doctoral,14,14.0
166,Fall,2012,On,CALS,Horticulture,HORT,Freshmen,Bachelors,6,6.00
167,Fall,2012,On,CALS,Horticulture,HORT,Juniors,Bachelors,18,18.0
168,Fall,2012,On,CALS,Horticulture,HORT,Masters,Masters,7,7.00
169,Fall,2012,On,CALS,Horticulture,HORT,Non-degree-seeking,Non-degre,1,0.50
170,Fall,2012,On,CALS,Horticulture,HORT,Seniors,Bachelors,6,5.00
171,Fall,2012,On,CALS,Horticulture,HORT,Sophomores,Bachelors,7,7.00
172,Fall,2012,On,CALS,Horticulture,LCON,Juniors,Bachelors,5,5.00
173,Fall,2012,On,CALS,Horticulture,LCON,Seniors,Bachelors,9,8.75
174,Fall,2012,On,CALS,Horticulture,LCON,Sophomores,Bachelors,3,3.00
175,Fall,2012,On,CALS,"Human Nutrition, Foods & Exercise",HNFE,Doctoral,Doctoral,32,31.7
176,Fall,2012,On,CALS,"Human Nutrition, Foods & Exercise",HNFE,Freshmen,Bachelors,172,172
177,Fall,2012,On,CALS,"Human Nutrition, Foods & Exercise",HNFE,Juniors,Bachelors,227,225
178,Fall,2012,On,CALS,"Human Nutrition, Foods & Exercise",HNFE,Masters,Masters,14,12.3
179,Fall,2012,On,CALS,"Human Nutrition, Foods & Exercise",HNFE,Seniors,Bachelors,264,262
180,Fall,2012,On,CALS,"Human Nutrition, Foods & Exercise",HNFE,Sophomores,Bachelors,131,131
181,Fall,2012,On,CALS,"Plant Pathology, Phys, & Weed Sci.",PPWS,Doctoral,Doctoral,22,22.0
182,Fall,2012,On,CALS,"Plant Pathology, Phys, & Weed Sci.",PPWS,Masters,Masters,10,10.0
183,Fall,2012,On,CAUS,Building Construction,BC,Freshmen,Bachelors,23,23.0
184,Fall,2012,On,CAUS,Building Construction,BC,Juniors,Bachelors,31,30.6
185,Fall,2012,On,CAUS,Building Construction,BC,Seniors,Bachelors,60,57.9
186,Fall,2012,On,CAUS,Building Construction,BC,Sophomores,Bachelors,25,24.9
187,Fall,2012,On,CAUS,Building Construction,BCSM,Masters,Masters,11,11.0
188,Fall,2012,On,CAUS,Myers-Lawson School of Construction,EDP,Doctoral,Doctoral,11,10.0
189,Fall,2012,On,CAUS,School of Architecture + Design,ADR,Doctoral,Doctoral,27,26.1
190,Fall,2012,On,CAUS,School of Architecture + Design,ARCH,Freshmen,Bachelors,97,97.0
191,Fall,2012,On,CAUS,School of Architecture + Design,ARCH,Juniors,Bachelors,92,92.0
192,Fall,2012,On,CAUS,School of Architecture + Design,ARCH,Masters,Masters,98,91.7
193,Fall,2012,On,CAUS,School of Architecture + Design,ARCH,Seniors,Bachelors,245,244
194,Fall,2012,On,CAUS,School of Architecture + Design,ARCH,Sophomores,Bachelors,87,86.8
195,Fall,2012,On,CAUS,School of Architecture + Design,IDS,Freshmen,Bachelors,25,24.8
196,Fall,2012,On,CAUS,School of Architecture + Design,IDS,Juniors,Bachelors,37,36.7
197,Fall,2012,On,CAUS,School of Architecture + Design,IDS,Seniors,Bachelors,54,53.5
198,Fall,2012,On,CAUS,School of Architecture + Design,IDS,Sophomores,Bachelors,25,25.0
199,Fall,2012,On,CAUS,School of Architecture + Design,ITDS,Freshmen,Bachelors,33,33.0
200,Fall,2012,On,CAUS,School of Architecture + Design,ITDS,Juniors,Bachelors,37,37.0
201,Fall,2012,On,CAUS,School of Architecture + Design,ITDS,Seniors,Bachelors,33,31.1
202,Fall,2012,On,CAUS,School of Architecture + Design,ITDS,Sophomores,Bachelors,24,24.0
203,Fall,2012,On,CAUS,School of Architecture + Design,LAR,Freshmen,Bachelors,17,17.0
204,Fall,2012,On,CAUS,School of Architecture + Design,LAR,Juniors,Bachelors,13,13.0
205,Fall,2012,On,CAUS,School of Architecture + Design,LAR,Masters,Masters,7,6.67
206,Fall,2012,On,CAUS,School of Architecture + Design,LAR,Seniors,Bachelors,31,30.8
207,Fall,2012,On,CAUS,School of Architecture + Design,LAR,Sophomores,Bachelors,19,19.0
208,Fall,2012,On,CAUS,School of Pub & Internat Affairs,EPP,Freshmen,Bachelors,11,10.8
209,Fall,2012,On,CAUS,School of Pub & Internat Affairs,EPP,Juniors,Bachelors,30,30.0
210,Fall,2012,On,CAUS,School of Pub & Internat Affairs,EPP,Seniors,Bachelors,42,42.0
211,Fall,2012,On,CAUS,School of Pub & Internat Affairs,EPP,Sophomores,Bachelors,17,17.0
212,Fall,2012,On,CAUS,School of Pub & Internat Affairs,PAPA,Doctoral,Doctoral,41,27.4
213,Fall,2012,On,CAUS,School of Pub & Internat Affairs,PAPA,Masters,Masters,40,30.4
214,Fall,2012,On,CAUS,School of Pub & Internat Affairs,PGG,Doctoral,Doctoral,32,26.1
215,Fall,2012,On,CAUS,School of Pub & Internat Affairs,PIA,Masters,Masters,17,15.4
216,Fall,2012,On,CAUS,School of Pub & Internat Affairs,PUA,Freshmen,Bachelors,6,6.00
217,Fall,2012,On,CAUS,School of Pub & Internat Affairs,PUA,Juniors,Bachelors,20,20.0
218,Fall,2012,On,CAUS,School of Pub & Internat Affairs,PUA,Seniors,Bachelors,34,32.8
219,Fall,2012,On,CAUS,School of Pub & Internat Affairs,PUA,Sophomores,Bachelors,9,9.00
220,Fall,2012,On,CAUS,School of Pub & Internat Affairs,URPL,Masters,Masters,32,31.0
221,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ART,Freshmen,Bachelors,47,47.0
222,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ART,Juniors,Bachelors,8,8.00
223,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ART,Non-degree-seeking,Non-degre,1,0.25
224,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ART,Seniors,Bachelors,9,8.00
225,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ART,Sophomores,Bachelors,11,11.0
226,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ARTF,Freshmen,Bachelors,2,2.00
227,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ARTF,Juniors,Bachelors,34,33.8
228,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ARTF,Seniors,Bachelors,58,50.6
229,Fall,2012,On,CAUS,School of Visual Arts (SOVA),ARTF,Sophomores,Bachelors,28,28.0
230,Fall,2012,On,CAUS,School of Visual Arts (SOVA),CTEC,Masters,Masters,11,9.67
231,Fall,2012,On,CLAHS,"Apparel, Housing and Resource Mgmt",AHRM,Doctoral,Doctoral,3,1.33
232,Fall,2012,On,CLAHS,"Apparel, Housing and Resource Mgmt",AHRM,Freshmen,Bachelors,27,27.0
233,Fall,2012,On,CLAHS,"Apparel, Housing and Resource Mgmt",AHRM,Juniors,Bachelors,76,75.4
234,Fall,2012,On,CLAHS,"Apparel, Housing and Resource Mgmt",AHRM,Seniors,Bachelors,96,92.5
235,Fall,2012,On,CLAHS,"Apparel, Housing and Resource Mgmt",AHRM,Sophomores,Bachelors,40,40.0
236,Fall,2012,On,CLAHS,Communication,COMM,Freshmen,Bachelors,110,109
237,Fall,2012,On,CLAHS,Communication,COMM,Juniors,Bachelors,182,182
238,Fall,2012,On,CLAHS,Communication,COMM,Masters,Masters,17,15.7
239,Fall,2012,On,CLAHS,Communication,COMM,Seniors,Bachelors,217,214
240,Fall,2012,On,CLAHS,Communication,COMM,Sophomores,Bachelors,107,107
241,Fall,2012,On,CLAHS,Dean-Liberal Arts & Human Sciences,LAHS,Sophomores,Bachelors,2,2.00
242,Fall,2012,On,CLAHS,Department of Religion and Culture,IDST,Freshmen,Bachelors,2,2.00
243,Fall,2012,On,CLAHS,Department of Religion and Culture,IDST,Juniors,Bachelors,7,7.00
244,Fall,2012,On,CLAHS,Department of Religion and Culture,IDST,Seniors,Bachelors,19,15.3
245,Fall,2012,On,CLAHS,Department of Religion and Culture,IDST,Sophomores,Bachelors,2,2.00
246,Fall,2012,On,CLAHS,English,ENCW,Masters,Masters,22,22.0
247,Fall,2012,On,CLAHS,English,ENGL,Freshmen,Bachelors,54,54.0
248,Fall,2012,On,CLAHS,English,ENGL,Juniors,Bachelors,85,84.3
249,Fall,2012,On,CLAHS,English,ENGL,Masters,Masters,23,23.0
250,Fall,2012,On,CLAHS,English,ENGL,Non-degree-seeking,Non-degre,1,0.25
251,Fall,2012,On,CLAHS,English,ENGL,Seniors,Bachelors,134,130
252,Fall,2012,On,CLAHS,English,ENGL,Sophomores,Bachelors,58,57.9
253,Fall,2012,On,CLAHS,English,RW,Doctoral,Doctoral,17,15.7
254,Fall,2012,On,CLAHS,Foreign Languages and Literatures,CLA,Freshmen,Bachelors,4,4.00
255,Fall,2012,On,CLAHS,Foreign Languages and Literatures,CLA,Juniors,Bachelors,6,6.00
256,Fall,2012,On,CLAHS,Foreign Languages and Literatures,CLA,Seniors,Bachelors,8,8.00
257,Fall,2012,On,CLAHS,Foreign Languages and Literatures,CLA,Sophomores,Bachelors,5,5.00
258,Fall,2012,On,CLAHS,Foreign Languages and Literatures,FLCL,Masters,Masters,9,8.67
259,Fall,2012,On,CLAHS,Foreign Languages and Literatures,FR,Freshmen,Bachelors,2,2.00
260,Fall,2012,On,CLAHS,Foreign Languages and Literatures,FR,Juniors,Bachelors,3,3.00
261,Fall,2012,On,CLAHS,Foreign Languages and Literatures,FR,Seniors,Bachelors,5,4.25
262,Fall,2012,On,CLAHS,Foreign Languages and Literatures,FR,Sophomores,Bachelors,3,3.00
263,Fall,2012,On,CLAHS,Foreign Languages and Literatures,GER,Freshmen,Bachelors,2,2.00
264,Fall,2012,On,CLAHS,Foreign Languages and Literatures,GER,Juniors,Bachelors,4,4.00
265,Fall,2012,On,CLAHS,Foreign Languages and Literatures,GER,Seniors,Bachelors,4,3.50
266,Fall,2012,On,CLAHS,Foreign Languages and Literatures,GER,Sophomores,Bachelors,1,1.00
267,Fall,2012,On,CLAHS,Foreign Languages and Literatures,SPAN,Freshmen,Bachelors,2,2.00
268,Fall,2012,On,CLAHS,Foreign Languages and Literatures,SPAN,Juniors,Bachelors,12,12.0
269,Fall,2012,On,CLAHS,Foreign Languages and Literatures,SPAN,Seniors,Bachelors,4,3.75
270,Fall,2012,On,CLAHS,Foreign Languages and Literatures,SPAN,Sophomores,Bachelors,10,10.0
271,Fall,2012,On,CLAHS,History,HIST,Freshmen,Bachelors,47,47.0
272,Fall,2012,On,CLAHS,History,HIST,Juniors,Bachelors,102,101
273,Fall,2012,On,CLAHS,History,HIST,Masters,Masters,15,13.8
274,Fall,2012,On,CLAHS,History,HIST,Seniors,Bachelors,114,111
275,Fall,2012,On,CLAHS,History,HIST,Sophomores,Bachelors,63,62.2
276,Fall,2012,On,CLAHS,Human Development,HD,Doctoral,Doctoral,49,35.2
277,Fall,2012,On,CLAHS,Human Development,HD,Freshmen,Bachelors,52,52.0
278,Fall,2012,On,CLAHS,Human Development,HD,Juniors,Bachelors,135,135
279,Fall,2012,On,CLAHS,Human Development,HD,Masters,Masters,6,5.67
280,Fall,2012,On,CLAHS,Human Development,HD,Seniors,Bachelors,167,165
281,Fall,2012,On,CLAHS,Human Development,HD,Sophomores,Bachelors,103,103
282,Fall,2012,On,CLAHS,Philosophy,PHIL,Freshmen,Bachelors,3,3.00
283,Fall,2012,On,CLAHS,Philosophy,PHIL,Juniors,Bachelors,11,11.0
284,Fall,2012,On,CLAHS,Philosophy,PHIL,Masters,Masters,25,24.3
285,Fall,2012,On,CLAHS,Philosophy,PHIL,Seniors,Bachelors,16,15.5
286,Fall,2012,On,CLAHS,Philosophy,PHIL,Sophomores,Bachelors,5,5.00
287,Fall,2012,On,CLAHS,Political Science,ASPT,Doctoral,Doctoral,36,30.9
288,Fall,2012,On,CLAHS,Political Science,IS,Freshmen,Bachelors,89,89.0
289,Fall,2012,On,CLAHS,Political Science,IS,Juniors,Bachelors,88,88.0
290,Fall,2012,On,CLAHS,Political Science,IS,Seniors,Bachelors,92,89.8
291,Fall,2012,On,CLAHS,Political Science,IS,Sophomores,Bachelors,75,75.0
292,Fall,2012,On,CLAHS,Political Science,PSCI,Freshmen,Bachelors,92,92.0
293,Fall,2012,On,CLAHS,Political Science,PSCI,Juniors,Bachelors,124,124
294,Fall,2012,On,CLAHS,Political Science,PSCI,Masters,Masters,14,13.1
295,Fall,2012,On,CLAHS,Political Science,PSCI,Seniors,Bachelors,111,109
296,Fall,2012,On,CLAHS,Political Science,PSCI,Sophomores,Bachelors,93,93.0
